client,Image_Path,Dominant_Colors,Text_Content,Word_Count,font_type,font_size
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.06 PM (2).jpeg,"[[206 220 220]
 [128 148 146]
 [  6  15  18]
 [239 242 240]
 [150 166 165]
 [ 37  54  63]
 [177 189 189]
 [ 82 100 105]]","AHEAD OF TIME

‘The all-new BMW i8

",7,Times New Roman,29
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.06 PM.jpeg,"[[242  85  47]
 [206 241 249]
 [ 40  53  65]
 [107 112 119]
 [214  11   8]
 [185 187 192]
 [111   8   9]
 [  4   1   3]]",,0,Times New Roman,26
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.07 PM (1).jpeg,"[[ 38  66  85]
 [109 151 174]
 [ 18  41  58]
 [227 244 248]
 [ 77 119 143]
 [ 12  21  30]
 [ 57  89 111]
 [164 190 207]]",,0,Courier New,11
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.07 PM (2).jpeg,"[[ 20  35  40]
 [115 131 138]
 [ 58  78  85]
 [188 195 199]
 [ 11  17  21]
 [ 36  54  61]
 [ 84 102 109]
 [147 160 166]]",,0,Times New Roman,17
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.07 PM (3).jpeg,"[[200 192 181]
 [ 59  63  58]
 [220 218 211]
 [131 131 125]
 [169 161 152]
 [ 93  96  92]
 [241 235 223]
 [ 20  28  27]]",,0,Verdana,26
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.07 PM.jpeg,"[[ 27  28  40]
 [232 232 239]
 [ 57 150 207]
 [ 59  95 119]
 [145 171 189]
 [ 16  68 103]
 [ 98 134 157]
 [ 10  98 175]]",,0,Times New Roman,26
2,/Users/nora/Downloads/BatoolTestImg/2/WhatsApp Image 2024-01-13 at 3.02.08 PM.jpeg,"[[ 83  46  50]
 [192 188 192]
 [138  85  91]
 [172 127 134]
 [ 16  16  18]
 [111  59  66]
 [247 246 246]
 [ 58  32  34]]","votLuvao

INTRODUCING

THE NEW VOLVO XC40

[DESIGNED WITH EVERY THING IN MIND.
",12,Courier New,17
3,/Users/nora/Downloads/BatoolTestImg/3/WhatsApp Image 2024-01-13 at 5.47.51 PM.jpeg,"[[ 29  33  37]
 [182 205 217]
 [  4   4   5]
 [ 19 122 176]
 [121 129 132]
 [ 85 169 215]
 [ 11  69 109]
 [ 69  74  77]]","ww

",1,Arial,15
3,/Users/nora/Downloads/BatoolTestImg/3/WhatsApp Image 2024-01-13 at 5.47.52 PM (1).jpeg,"[[ 88 129 173]
 [ 16  25  30]
 [160 188 213]
 [209 219 225]
 [ 66  76  84]
 [120 161 200]
 [114 122 128]
 [160 158 156]]","NEW E. NEW ATTITUDE.

Give your automotive experince luurious uarade withthe
l-nen Mercedes-Benz &Cles LW, Excel th Mercedes me connect,
'MBUXand the atest n-car connected intuitive technology
‘Get behind he whee ofthe new Eand esdon,

‘Sporty & Dynamic design | Mercedes me connect
Hey Mercedes with MBUX | Maximum retning rear seats

",52,Arial,14
3,/Users/nora/Downloads/BatoolTestImg/3/WhatsApp Image 2024-01-13 at 5.47.52 PM.jpeg,"[[ 96  92 104]
 [  7   6  12]
 [188 176 186]
 [ 63  57  66]
 [175  56  50]
 [236 232 236]
 [ 35  27  34]
 [145 131 142]]","ALL NEW

BRITISH PERFO

",4,Times New Roman,14
3,/Users/nora/Downloads/BatoolTestImg/3/WhatsApp Image 2024-01-13 at 5.47.53 PM (1).jpeg,"[[ 23  27  28]
 [141 159 160]
 [ 67  86  93]
 [231 231 223]
 [ 43  56  59]
 [105 123 126]
 [185 194 191]
 [  3   7  10]]","The best knows no alternative.

The new C-Class from €37,750

Mercedes-Benz

The best or nothing.

A Daimler Brand

fB Follow us on www.facebook.com/mercedesbenzireland

C02 for the C-Class 180 petrol manual: 116 - 127g/km (combined) 5.0 ~ 5.5 1/100km (combined). www.mercedes-benz.ie

",40,Comic Sans MS,23
3,/Users/nora/Downloads/BatoolTestImg/3/WhatsApp Image 2024-01-13 at 5.47.53 PM.jpeg,"[[ 36  64  70]
 [116 157 163]
 [  5  12  14]
 [208 228 229]
 [ 85 124 131]
 [152 195 199]
 [ 59  92  97]
 [ 19  38  43]]","Worry

Daniel Craig was scared too.
",6,Arial,15
3,/Users/nora/Downloads/BatoolTestImg/3/WhatsApp Image 2024-01-13 at 5.47.54 PM (1).jpeg,"[[ 25 133 163]
 [ 17  23  28]
 [232 247 248]
 [ 63  68  66]
 [135 165 169]
 [ 83 109 113]
 [  2   3   6]
 [ 19  77 101]]","EXCHANGE
Meee OLD

is—

Try new m8
Feel the aiference
",10,Arial,29
3,/Users/nora/Downloads/BatoolTestImg/3/WhatsApp Image 2024-01-13 at 5.47.54 PM.jpeg,"[[ 21  31  36]
 [186  81  78]
 [173 157 157]
 [ 53  61  56]
 [250 248 248]
 [134  32  35]
 [221  11  43]
 [ 95  95  84]]","LET US FIND THE PERFECT
CAR FOR —_—

di
",9,Arial,23
